						
買う	Present Positive Plain<br>買う<br>(C1)
買わない	Present Negative Plain<br>買う<br>(C1)
買います	Present Positive Polite<br>買う<br>(C1)
買いません	Present Negative Polite<br>買う<br>(C1)
買った	Past Positive Plain<br>買う<br>(C1)
買わなかった	Past Negative Plain<br>買う<br>(C1)
買いました	Past Positive Polite<br>買う<br>(C1)
買いませんでした	Past Negative Polite<br>買う<br>(C1)
買って	-te Form<br>買う<br>(C1)
買おう	Volitional<br>買う<br>(C1)
買える	Potential<br>買う<br>(C1)
買われる	Passive<br>買う<br>(C1)
買わせる	Causative<br>買う<br>(C1)
買え	Imperative<br>買う<br>(C1)
買えば	Conditional<br>買う<br>(C1)
思う	Present Positive Plain<br>思う<br>(C2)
思わない	Present Negative Plain<br>思う<br>(C2)
思います	Present Positive Polite<br>思う<br>(C2)
思いません	Present Negative Polite<br>思う<br>(C2)
思った	Past Positive Plain<br>思う<br>(C2)
思わなかった	Past Negative Plain<br>思う<br>(C2)
思いました	Past Positive Polite<br>思う<br>(C2)
思いませんでした	Past Negative Polite<br>思う<br>(C2)
思って	-te Form<br>思う<br>(C2)
思おう	Volitional<br>思う<br>(C2)
思える	Potential<br>思う<br>(C2)
思われる	Passive<br>思う<br>(C2)
思わせる	Causative<br>思う<br>(C2)
思え	Imperative<br>思う<br>(C2)
思えば	Conditional<br>思う<br>(C2)
言う	Present Positive Plain<br>言う<br>(C3)
言わない	Present Negative Plain<br>言う<br>(C3)
言います	Present Positive Polite<br>言う<br>(C3)
言いません	Present Negative Polite<br>言う<br>(C3)
言った	Past Positive Plain<br>言う<br>(C3)
言わなかった	Past Negative Plain<br>言う<br>(C3)
言いました	Past Positive Polite<br>言う<br>(C3)
言いませんでした	Past Negative Polite<br>言う<br>(C3)
言って	-te Form<br>言う<br>(C3)
言おう	Volitional<br>言う<br>(C3)
言える	Potential<br>言う<br>(C3)
言われる	Passive<br>言う<br>(C3)
言わせる	Causative<br>言う<br>(C3)
言え	Imperative<br>言う<br>(C3)
言えば	Conditional<br>言う<br>(C3)
飲む	Present Positive Plain<br>飲む<br>(A1)
飲まない	Present Negative Plain<br>飲む<br>(A1)
飲みます	Present Positive Polite<br>飲む<br>(A1)
飲みません	Present Negative Polite<br>飲む<br>(A1)
飲んだ	Past Positive Plain<br>飲む<br>(A1)
飲まなかった	Past Negative Plain<br>飲む<br>(A1)
飲みました	Past Positive Polite<br>飲む<br>(A1)
飲みませんでした	Past Negative Polite<br>飲む<br>(A1)
飲んで	-te Form<br>飲む<br>(A1)
飲もう	Volitional<br>飲む<br>(A1)
飲める	Potential<br>飲む<br>(A1)
飲まれる	Passive<br>飲む<br>(A1)
飲ませる	Causative<br>飲む<br>(A1)
飲め	Imperative<br>飲む<br>(A1)
飲めば	Conditional<br>飲む<br>(A1)
含む	Present Positive Plain<br>含む<br>(A2)
含まない	Present Negative Plain<br>含む<br>(A2)
含みます	Present Positive Polite<br>含む<br>(A2)
含みません	Present Negative Polite<br>含む<br>(A2)
含んだ	Past Positive Plain<br>含む<br>(A2)
含まなかった	Past Negative Plain<br>含む<br>(A2)
含みました	Past Positive Polite<br>含む<br>(A2)
含みませんでした	Past Negative Polite<br>含む<br>(A2)
含んで	-te Form<br>含む<br>(A2)
含もう	Volitional<br>含む<br>(A2)
含める	Potential<br>含む<br>(A2)
含まれる	Passive<br>含む<br>(A2)
含ませる	Causative<br>含む<br>(A2)
含め	Imperative<br>含む<br>(A2)
含めば	Conditional<br>含む<br>(A2)
住む	Present Positive Plain<br>住む<br>(A3)
住まない	Present Negative Plain<br>住む<br>(A3)
住みます	Present Positive Polite<br>住む<br>(A3)
住みません	Present Negative Polite<br>住む<br>(A3)
住んだ	Past Positive Plain<br>住む<br>(A3)
住まなかった	Past Negative Plain<br>住む<br>(A3)
住みました	Past Positive Polite<br>住む<br>(A3)
住みませんでした	Past Negative Polite<br>住む<br>(A3)
住んで	-te Form<br>住む<br>(A3)
住もう	Volitional<br>住む<br>(A3)
住める	Potential<br>住む<br>(A3)
住まれる	Passive<br>住む<br>(A3)
住ませる	Causative<br>住む<br>(A3)
住め	Imperative<br>住む<br>(A3)
住めば	Conditional<br>住む<br>(A3)
食べる	Present Positive Plain<br>食べる<br>(B1)
食べない	Present Negative Plain<br>食べる<br>(B1)
食べます	Present Positive Polite<br>食べる<br>(B1)
食べません	Present Negative Polite<br>食べる<br>(B1)
食べた	Past Positive Plain<br>食べる<br>(B1)
食べなかった	Past Negative Plain<br>食べる<br>(B1)
