						
Present Positive Plain<br>買う	買う<br>(C1)
Present Negative Plain<br>買う	買わない<br>(C1)
Present Positive Polite<br>買う	買います<br>(C1)
Present Negative Polite<br>買う	買いません<br>(C1)
Past Positive Plain<br>買う	買った<br>(C1)
Past Negative Plain<br>買う	買わなかった<br>(C1)
Past Positive Polite<br>買う	買いました<br>(C1)
Past Negative Polite<br>買う	買いませんでした<br>(C1)
-te Form<br>買う	買って<br>(C1)
Volitional<br>買う	買おう<br>(C1)
Potential<br>買う	買える<br>(C1)
Passive<br>買う	買われる<br>(C1)
Causative<br>買う	買わせる<br>(C1)
Imperative<br>買う	買え<br>(C1)
Conditional<br>買う	買えば<br>(C1)
Present Positive Plain<br>思う	思う<br>(C2)
Present Negative Plain<br>思う	思わない<br>(C2)
Present Positive Polite<br>思う	思います<br>(C2)
Present Negative Polite<br>思う	思いません<br>(C2)
Past Positive Plain<br>思う	思った<br>(C2)
Past Negative Plain<br>思う	思わなかった<br>(C2)
Past Positive Polite<br>思う	思いました<br>(C2)
Past Negative Polite<br>思う	思いませんでした<br>(C2)
-te Form<br>思う	思って<br>(C2)
Volitional<br>思う	思おう<br>(C2)
Potential<br>思う	思える<br>(C2)
Passive<br>思う	思われる<br>(C2)
Causative<br>思う	思わせる<br>(C2)
Imperative<br>思う	思え<br>(C2)
Conditional<br>思う	思えば<br>(C2)
Present Positive Plain<br>言う	言う<br>(C3)
Present Negative Plain<br>言う	言わない<br>(C3)
Present Positive Polite<br>言う	言います<br>(C3)
Present Negative Polite<br>言う	言いません<br>(C3)
Past Positive Plain<br>言う	言った<br>(C3)
Past Negative Plain<br>言う	言わなかった<br>(C3)
Past Positive Polite<br>言う	言いました<br>(C3)
Past Negative Polite<br>言う	言いませんでした<br>(C3)
-te Form<br>言う	言って<br>(C3)
Volitional<br>言う	言おう<br>(C3)
Potential<br>言う	言える<br>(C3)
Passive<br>言う	言われる<br>(C3)
Causative<br>言う	言わせる<br>(C3)
Imperative<br>言う	言え<br>(C3)
Conditional<br>言う	言えば<br>(C3)
Present Positive Plain<br>飲む	飲む<br>(A1)
Present Negative Plain<br>飲む	飲まない<br>(A1)
Present Positive Polite<br>飲む	飲みます<br>(A1)
Present Negative Polite<br>飲む	飲みません<br>(A1)
Past Positive Plain<br>飲む	飲んだ<br>(A1)
Past Negative Plain<br>飲む	飲まなかった<br>(A1)
Past Positive Polite<br>飲む	飲みました<br>(A1)
Past Negative Polite<br>飲む	飲みませんでした<br>(A1)
-te Form<br>飲む	飲んで<br>(A1)
Volitional<br>飲む	飲もう<br>(A1)
Potential<br>飲む	飲める<br>(A1)
Passive<br>飲む	飲まれる<br>(A1)
Causative<br>飲む	飲ませる<br>(A1)
Imperative<br>飲む	飲め<br>(A1)
Conditional<br>飲む	飲めば<br>(A1)
Present Positive Plain<br>含む	含む<br>(A2)
Present Negative Plain<br>含む	含まない<br>(A2)
Present Positive Polite<br>含む	含みます<br>(A2)
Present Negative Polite<br>含む	含みません<br>(A2)
Past Positive Plain<br>含む	含んだ<br>(A2)
Past Negative Plain<br>含む	含まなかった<br>(A2)
Past Positive Polite<br>含む	含みました<br>(A2)
Past Negative Polite<br>含む	含みませんでした<br>(A2)
-te Form<br>含む	含んで<br>(A2)
Volitional<br>含む	含もう<br>(A2)
Potential<br>含む	含める<br>(A2)
Passive<br>含む	含まれる<br>(A2)
Causative<br>含む	含ませる<br>(A2)
Imperative<br>含む	含め<br>(A2)
Conditional<br>含む	含めば<br>(A2)
Present Positive Plain<br>住む	住む<br>(A3)
Present Negative Plain<br>住む	住まない<br>(A3)
Present Positive Polite<br>住む	住みます<br>(A3)
Present Negative Polite<br>住む	住みません<br>(A3)
Past Positive Plain<br>住む	住んだ<br>(A3)
Past Negative Plain<br>住む	住まなかった<br>(A3)
Past Positive Polite<br>住む	住みました<br>(A3)
Past Negative Polite<br>住む	住みませんでした<br>(A3)
-te Form<br>住む	住んで<br>(A3)
Volitional<br>住む	住もう<br>(A3)
Potential<br>住む	住める<br>(A3)
Passive<br>住む	住まれる<br>(A3)
Causative<br>住む	住ませる<br>(A3)
Imperative<br>住む	住め<br>(A3)
Conditional<br>住む	住めば<br>(A3)
Present Positive Plain<br>食べる	食べる<br>(B1)
Present Negative Plain<br>食べる	食べない<br>(B1)
Present Positive Polite<br>食べる	食べます<br>(B1)
Present Negative Polite<br>食べる	食べません<br>(B1)
Past Positive Plain<br>食べる	食べた<br>(B1)
Past Negative Plain<br>食べる	食べなかった<br>(B1)
Past Positive Polite<br>食べる	食べました<br>(B1)
Past Negative Polite<br>食べる	食べませんでした<br>(B1)
-te Form<br>食べる	食べて<br>(B1)
Volitional<br>食べる	食べよう<br>(B1)
Potential<br>食べる	食べられる<br>(B1)
Passive<br>食べる	食べられる<br>(B1)
Causative<br>食べる	食べさせる<br>(B1)
Imperative<br>食べる	食べろ<br>(B1)
Conditional<br>食べる	食べれば<br>(B1)
Present Positive Plain<br>見る	見る<br>(B2)
Present Negative Plain<br>見る	見ない<br>(B2)
Present Positive Polite<br>見る	見ます<br>(B2)
Present Negative Polite<br>見る	見ません<br>(B2)
Past Positive Plain<br>見る	見た<br>(B2)
Past Negative Plain<br>見る	見なかった<br>(B2)
Past Positive Polite<br>見る	見ました<br>(B2)
Past Negative Polite<br>見る	見ませんでした<br>(B2)
-te Form<br>見る	見て<br>(B2)
Volitional<br>見る	見よう<br>(B2)
Potential<br>見る	見られる<br>(B2)
Passive<br>見る	見られる<br>(B2)
Causative<br>見る	見させる<br>(B2)
Imperative<br>見る	見ろ<br>(B2)
Conditional<br>見る	見れば<br>(B2)
Present Positive Plain<br>用いる	用いる<br>(B3)
Present Negative Plain<br>用いる	用いない<br>(B3)
Present Positive Polite<br>用いる	用います<br>(B3)
Present Negative Polite<br>用いる	用いません<br>(B3)
Past Positive Plain<br>用いる	用いた<br>(B3)
Past Negative Plain<br>用いる	用いなかった<br>(B3)
Past Positive Polite<br>用いる	用いました<br>(B3)
Past Negative Polite<br>用いる	用いませんでした<br>(B3)
-te Form<br>用いる	用いて<br>(B3)
Volitional<br>用いる	用おう<br>(B3)
Potential<br>用いる	用える<br>(B3)
Passive<br>用いる	用われる<br>(B3)
Causative<br>用いる	用わせる<br>(B3)
Imperative<br>用いる	用いろ<br>(B3)
Conditional<br>用いる	用えば<br>(B3)
行く(D1)	行く	彼は毎朝ジョギングに行く。	(かれはまいあさじょぎんぐにいく。)	He goes jogging every morning.		Present Positive Plain
行く(D1)	行かない	彼女は雨の日には外出しない。	(かのじょはあめのひにはがいしゅつしない。)	She doesn't go out on rainy days.		Present Negative Plain
行く(D1)	行きます	私たちは今晩映画を見に行きます。	(わたしたちはこんばんえいがをみにいきます。)	We are going to see a movie tonight.		Present Positive Polite
行く(D1)	行きません	この週末は旅行には行きません。	(このしゅうまつはりょこうにはいきません。)	I'm not going on a trip this weekend.		Present Negative Polite
行く(D1)	行った	先週、友達と海へ行った。	(せんしゅう、ともだちとうみへいった。)	I went to the beach with my friends last week.		Past Positive Plain
