		
Present Positive Plain<br>買う	買う<br>(C1)<br>[sound:jva-0001_買う.mp3]
Present Negative Plain<br>買う	買わない<br>(C1)<br>[sound:jva-0002_買わない.mp3]
Present Positive Polite<br>買う	買います<br>(C1)<br>[sound:jva-0003_買います.mp3]
Present Negative Polite<br>買う	買いません<br>(C1)<br>[sound:jva-0004_買いません.mp3]
Past Positive Plain<br>買う	買った<br>(C1)<br>[sound:jva-0005_買った.mp3]
Past Negative Plain<br>買う	買わなかった<br>(C1)<br>[sound:jva-0006_買わなかった.mp3]
Past Positive Polite<br>買う	買いました<br>(C1)<br>[sound:jva-0007_買いました.mp3]
Past Negative Polite<br>買う	買いませんでした<br>(C1)<br>[sound:jva-0008_買いませんでした.mp3]
-te Form<br>買う	買って<br>(C1)<br>[sound:jva-0009_買って.mp3]
Volitional<br>買う	買おう<br>(C1)<br>[sound:jva-0010_買おう.mp3]
Potential<br>買う	買える<br>(C1)<br>[sound:jva-0011_買える.mp3]
Passive<br>買う	買われる<br>(C1)<br>[sound:jva-0012_買われる.mp3]
Causative<br>買う	買わせる<br>(C1)<br>[sound:jva-0013_買わせる.mp3]
Imperative<br>買う	買え<br>(C1)<br>[sound:jva-0014_買え.mp3]
Conditional<br>買う	買えば<br>(C1)<br>[sound:jva-0015_買えば.mp3]
Present Positive Plain<br>思う	思う<br>(C2)<br>[sound:jva-0016_思う.mp3]
Present Negative Plain<br>思う	思わない<br>(C2)<br>[sound:jva-0017_思わない.mp3]
Present Positive Polite<br>思う	思います<br>(C2)<br>[sound:jva-0018_思います.mp3]
Present Negative Polite<br>思う	思いません<br>(C2)<br>[sound:jva-0019_思いません.mp3]
Past Positive Plain<br>思う	思った<br>(C2)<br>[sound:jva-0020_思った.mp3]
Past Negative Plain<br>思う	思わなかった<br>(C2)<br>[sound:jva-0021_思わなかった.mp3]
Past Positive Polite<br>思う	思いました<br>(C2)<br>[sound:jva-0022_思いました.mp3]
Past Negative Polite<br>思う	思いませんでした<br>(C2)<br>[sound:jva-0023_思いませんでした.mp3]
-te Form<br>思う	思って<br>(C2)<br>[sound:jva-0024_思って.mp3]
Volitional<br>思う	思おう<br>(C2)<br>[sound:jva-0025_思おう.mp3]
Potential<br>思う	思える<br>(C2)<br>[sound:jva-0026_思える.mp3]
Passive<br>思う	思われる<br>(C2)<br>[sound:jva-0027_思われる.mp3]
Causative<br>思う	思わせる<br>(C2)<br>[sound:jva-0028_思わせる.mp3]
Imperative<br>思う	思え<br>(C2)<br>[sound:jva-0029_思え.mp3]
Conditional<br>思う	思えば<br>(C2)<br>[sound:jva-0030_思えば.mp3]
Present Positive Plain<br>言う	言う<br>(C3)<br>[sound:jva-0031_言う.mp3]
Present Negative Plain<br>言う	言わない<br>(C3)<br>[sound:jva-0032_言わない.mp3]
Present Positive Polite<br>言う	言います<br>(C3)<br>[sound:jva-0033_言います.mp3]
Present Negative Polite<br>言う	言いません<br>(C3)<br>[sound:jva-0034_言いません.mp3]
Past Positive Plain<br>言う	言った<br>(C3)<br>[sound:jva-0035_言った.mp3]
Past Negative Plain<br>言う	言わなかった<br>(C3)<br>[sound:jva-0036_言わなかった.mp3]
Past Positive Polite<br>言う	言いました<br>(C3)<br>[sound:jva-0037_言いました.mp3]
Past Negative Polite<br>言う	言いませんでした<br>(C3)<br>[sound:jva-0038_言いませんでした.mp3]
-te Form<br>言う	言って<br>(C3)<br>[sound:jva-0039_言って.mp3]
Volitional<br>言う	言おう<br>(C3)<br>[sound:jva-0040_言おう.mp3]
Potential<br>言う	言える<br>(C3)<br>[sound:jva-0041_言える.mp3]
Passive<br>言う	言われる<br>(C3)<br>[sound:jva-0042_言われる.mp3]
Causative<br>言う	言わせる<br>(C3)<br>[sound:jva-0043_言わせる.mp3]
Imperative<br>言う	言え<br>(C3)<br>[sound:jva-0044_言え.mp3]
Conditional<br>言う	言えば<br>(C3)<br>[sound:jva-0045_言えば.mp3]
Present Positive Plain<br>飲む	飲む<br>(A1)<br>[sound:jva-0046_飲む.mp3]
Present Negative Plain<br>飲む	飲まない<br>(A1)<br>[sound:jva-0047_飲まない.mp3]
Present Positive Polite<br>飲む	飲みます<br>(A1)<br>[sound:jva-0048_飲みます.mp3]
Present Negative Polite<br>飲む	飲みません<br>(A1)<br>[sound:jva-0049_飲みません.mp3]
Past Positive Plain<br>飲む	飲んだ<br>(A1)<br>[sound:jva-0050_飲んだ.mp3]
Past Negative Plain<br>飲む	飲まなかった<br>(A1)<br>[sound:jva-0051_飲まなかった.mp3]
Past Positive Polite<br>飲む	飲みました<br>(A1)<br>[sound:jva-0052_飲みました.mp3]
Past Negative Polite<br>飲む	飲みませんでした<br>(A1)<br>[sound:jva-0053_飲みませんでした.mp3]
-te Form<br>飲む	飲んで<br>(A1)<br>[sound:jva-0054_飲んで.mp3]
Volitional<br>飲む	飲もう<br>(A1)<br>[sound:jva-0055_飲もう.mp3]
Potential<br>飲む	飲める<br>(A1)<br>[sound:jva-0056_飲める.mp3]
Passive<br>飲む	飲まれる<br>(A1)<br>[sound:jva-0057_飲まれる.mp3]
Causative<br>飲む	飲ませる<br>(A1)<br>[sound:jva-0058_飲ませる.mp3]
Imperative<br>飲む	飲め<br>(A1)<br>[sound:jva-0059_飲め.mp3]
Conditional<br>飲む	飲めば<br>(A1)<br>[sound:jva-0060_飲めば.mp3]
Present Positive Plain<br>含む	含む<br>(A2)<br>[sound:jva-0061_含む.mp3]
Present Negative Plain<br>含む	含まない<br>(A2)<br>[sound:jva-0062_含まない.mp3]
Present Positive Polite<br>含む	含みます<br>(A2)<br>[sound:jva-0063_含みます.mp3]
Present Negative Polite<br>含む	含みません<br>(A2)<br>[sound:jva-0064_含みません.mp3]
Past Positive Plain<br>含む	含んだ<br>(A2)<br>[sound:jva-0065_含んだ.mp3]
Past Negative Plain<br>含む	含まなかった<br>(A2)<br>[sound:jva-0066_含まなかった.mp3]
Past Positive Polite<br>含む	含みました<br>(A2)<br>[sound:jva-0067_含みました.mp3]
Past Negative Polite<br>含む	含みませんでした<br>(A2)<br>[sound:jva-0068_含みませんでした.mp3]
-te Form<br>含む	含んで<br>(A2)<br>[sound:jva-0069_含んで.mp3]
Volitional<br>含む	含もう<br>(A2)<br>[sound:jva-0070_含もう.mp3]
Potential<br>含む	含める<br>(A2)<br>[sound:jva-0071_含める.mp3]
Passive<br>含む	含まれる<br>(A2)<br>[sound:jva-0072_含まれる.mp3]
Causative<br>含む	含ませる<br>(A2)<br>[sound:jva-0073_含ませる.mp3]
Imperative<br>含む	含め<br>(A2)<br>[sound:jva-0074_含め.mp3]
Conditional<br>含む	含めば<br>(A2)<br>[sound:jva-0075_含めば.mp3]
Present Positive Plain<br>住む	住む<br>(A3)<br>[sound:jva-0076_住む.mp3]
Present Negative Plain<br>住む	住まない<br>(A3)<br>[sound:jva-0077_住まない.mp3]
Present Positive Polite<br>住む	住みます<br>(A3)<br>[sound:jva-0078_住みます.mp3]
Present Negative Polite<br>住む	住みません<br>(A3)<br>[sound:jva-0079_住みません.mp3]
Past Positive Plain<br>住む	住んだ<br>(A3)<br>[sound:jva-0080_住んだ.mp3]
Past Negative Plain<br>住む	住まなかった<br>(A3)<br>[sound:jva-0081_住まなかった.mp3]
Past Positive Polite<br>住む	住みました<br>(A3)<br>[sound:jva-0082_住みました.mp3]
Past Negative Polite<br>住む	住みませんでした<br>(A3)<br>[sound:jva-0083_住みませんでした.mp3]
-te Form<br>住む	住んで<br>(A3)<br>[sound:jva-0084_住んで.mp3]
Volitional<br>住む	住もう<br>(A3)<br>[sound:jva-0085_住もう.mp3]
Potential<br>住む	住める<br>(A3)<br>[sound:jva-0086_住める.mp3]
Passive<br>住む	住まれる<br>(A3)<br>[sound:jva-0087_住まれる.mp3]
Causative<br>住む	住ませる<br>(A3)<br>[sound:jva-0088_住ませる.mp3]
Imperative<br>住む	住め<br>(A3)<br>[sound:jva-0089_住め.mp3]
Conditional<br>住む	住めば<br>(A3)<br>[sound:jva-0090_住めば.mp3]
Present Positive Plain<br>食べる	食べる<br>(B1)<br>[sound:jva-0091_食べる.mp3]
Present Negative Plain<br>食べる	食べない<br>(B1)<br>[sound:jva-0092_食べない.mp3]
Present Positive Polite<br>食べる	食べます<br>(B1)<br>[sound:jva-0093_食べます.mp3]
Present Negative Polite<br>食べる	食べません<br>(B1)<br>[sound:jva-0094_食べません.mp3]
Past Positive Plain<br>食べる	食べた<br>(B1)<br>[sound:jva-0095_食べた.mp3]
Past Negative Plain<br>食べる	食べなかった<br>(B1)<br>[sound:jva-0096_食べなかった.mp3]
Past Positive Polite<br>食べる	食べました<br>(B1)<br>[sound:jva-0097_食べました.mp3]
Past Negative Polite<br>食べる	食べませんでした<br>(B1)<br>[sound:jva-0098_食べませんでした.mp3]
-te Form<br>食べる	食べて<br>(B1)<br>[sound:jva-0099_食べて.mp3]
Volitional<br>食べる	食べよう<br>(B1)<br>[sound:jva-0100_食べよう.mp3]
Potential<br>食べる	食べられる<br>(B1)<br>[sound:jva-0101_食べられる.mp3]
Passive<br>食べる	食べられる<br>(B1)<br>[sound:jva-0102_食べられる.mp3]
Causative<br>食べる	食べさせる<br>(B1)<br>[sound:jva-0103_食べさせる.mp3]
Imperative<br>食べる	食べろ<br>(B1)<br>[sound:jva-0104_食べろ.mp3]
Conditional<br>食べる	食べれば<br>(B1)<br>[sound:jva-0105_食べれば.mp3]
Present Positive Plain<br>見る	見る<br>(B2)<br>[sound:jva-0106_見る.mp3]
Present Negative Plain<br>見る	見ない<br>(B2)<br>[sound:jva-0107_見ない.mp3]
Present Positive Polite<br>見る	見ます<br>(B2)<br>[sound:jva-0108_見ます.mp3]
Present Negative Polite<br>見る	見ません<br>(B2)<br>[sound:jva-0109_見ません.mp3]
Past Positive Plain<br>見る	見た<br>(B2)<br>[sound:jva-0110_見た.mp3]
Past Negative Plain<br>見る	見なかった<br>(B2)<br>[sound:jva-0111_見なかった.mp3]
Past Positive Polite<br>見る	見ました<br>(B2)<br>[sound:jva-0112_見ました.mp3]
Past Negative Polite<br>見る	見ませんでした<br>(B2)<br>[sound:jva-0113_見ませんでした.mp3]
-te Form<br>見る	見て<br>(B2)<br>[sound:jva-0114_見て.mp3]
Volitional<br>見る	見よう<br>(B2)<br>[sound:jva-0115_見よう.mp3]
Potential<br>見る	見られる<br>(B2)<br>[sound:jva-0116_見られる.mp3]
